Galaxy name	RAJ2000 (deg)	DEJ2000 (deg)	D25 semi-major axis (arcmin)	D25 semi-minor axis (arcmin)	D25 positional angle, North-to-Northeast (deg)	Inclination angle (deg)	Luminosity distance (Mpc)	logSFR_HEC	logM_HEC	mean_exposure_Hr
NGC4625	190.469647	41.27387	0.703	0.703	0.0	46.12	11.7206	-0.862	9.4707	23.46
PGC042609	190.477541	9.58463	0.396	0.344	48.9	33.88	19.2593	-1.835	8.8293	11.68
IC0809	190.536105	11.75429	0.485	0.485	0.0	28.8	16.05	-1.715	9.4249	11.21
PGC042673	190.588602	2.066666	0.296	0.251	168.7	37.39	17.6681	-1.557	8.6307	12.44
NGC4630	190.629699	3.959765	0.832	0.604	10.2	49.15	16.4437	-0.364	9.7084	8.83
NGC4635	190.663477	19.945466	0.97	0.7	175.4	44.64	16.2891	-1.095	9.3694	14.43
PGC042748	190.734705	3.676582	0.372	0.332	126.1	35.88	17.5238	-1.701	9.3269	16.43
NGC4641	190.781982	12.051081	0.64	0.525	172.3	40.57	20.0888	-1.116	9.3907	13.2
PGC042772	190.779666	32.490694	0.137	0.11	150.0	41.08	17.4142	-1.642	8.4254	17.52
NGC4643	190.833783	1.978481	1.119	0.875	131.7	42.86	20.5205	-0.86	10.89	16.51
NGC4647	190.8857	11.582125	1.374	1.18	138.7	31.58	16.508	0.087	10.4466	10.55
NGC4670	191.321594	27.125522	0.485	0.414	90.2	33.67	11.0154	-0.818	9.152	19.99
PGC043051	191.518446	8.476259	0.287	0.287	0.0	25.53	9.8175	-2.162	8.096	16.96
PGC043121	191.730849	26.564248	0.332	0.236	25.1	58.97	11.0154	-1.501	8.3197	3.04
UGC07950	191.736096	51.613373	0.647	0.514	176.1	42.02	8.9536	-2.105	8.2868	15.75
NGC4689	191.93992	13.762633	1.91	1.432	162.6	42.54	16.659	-0.117	10.4897	16.79
NGC4691	192.056948	-3.33282	1.531	1.247	17.4	38.45	18.2074	0.451	10.3361	9.4
NGC4701	192.298292	3.388745	0.869	0.641	38.9	43.29	17.8733	-0.274	9.813	6.3
NGC4713	192.490988	5.311338	0.83	0.83	0.0	23.78	15.1204	-0.269	9.6503	17.2
PGC043864	193.507835	-1.508327	0.284	0.229	13.6	54.28	17.5861	-1.616	8.9221	14.58
PGC043940	193.673381	2.104104	0.431	0.328	30.0	52.1	17.4366	-1.337	9.0852	9.36
UGC08041	193.802644	0.116599	1.592	0.957	168.3	54.01	15.1446	-1.078	8.7967	17.92
NGC4900	195.163311	2.501062	1.064	1.064	0.0	18.98	17.2982	0.064	10.2516	17.28
NGC4904	195.244342	-0.027573	0.995	0.621	7.2	52.65	17.944	-0.199	9.939	12.28
NGC4941	196.054666	-5.551611	1.679	1.377	21.5	36.6	20.7217	-0.167	10.5768	18.18
PGC045858	198.07359	26.686102	0.441	0.253	110.0	56.15	18.7932	-1.195	9.284	19.5
NGC5058	199.217894	12.548308	0.378	0.282	12.9	46.96	17.5525	-1.021	9.1355	11.6
PGC046335	199.540932	57.975471	0.212	0.176	62.3	50.21	4.1411	-3.451	7.4146	34.25
NGC5204	202.4024	58.420383	2.249	1.412	5.5	58.83	4.7886	-1.458	8.7884	31.67
NGC5238	203.677099	51.613678	0.875	0.721	161.7	38.54	4.4981	-2.515	6.5585	17.36
NGC5248	204.38342	8.885176	2.037	1.191	119.6	56.38	13.3756	0.431	10.6186	18.08
PGC048501	205.485462	30.519358	0.164	0.135	29.0	38.31	18.2882	-1.281	7.9043	17.06
NGC5300	207.066859	3.950877	1.416	0.92	146.8	50.83	18.6439	-0.676	9.9693	8.69
NGC5363	209.030166	5.254694	2.084	1.377	133.3	53.69	16.5959	-0.516	10.8972	18.03
NGC5434	210.84645	9.448021	0.738	0.738	0.0	20.21	3.8019	-1.876	8.132	18.3
UGC08986	211.066069	4.112138	0.609	0.609	0.0	12.54	20.1046	-1.775	9.3176	17.54
NGC5474	211.256274	53.662267	1.197	0.783	99.7	50.21	6.9107	-1.27	9.1162	30.64
NGC5585	214.95081	56.729389	2.133	1.309	33.3	53.12	8.1017	-1.372	9.248	29.82
NGC5569	215.133768	3.9832	0.557	0.435	56.3	39.35	17.378	-1.306	8.784	12.98
NGC5645	217.663975	7.275089	1.009	0.544	84.7	58.58	16.2472	-0.457	9.7385	17.25
NGC5692	219.575478	3.410309	0.477	0.298	35.5	53.43	20.5116	-0.457	9.6408	12.54
PGC052966	222.51155	52.406262	0.283	0.22	8.3	43.87	16.2088	-1.683	8.3867	24.82
UGC09661	225.514689	1.8411	0.521	0.47	139.2	28.46	20.3163	-1.181	9.1029	17.69
NGC5921	230.485344	5.070632	1.51	1.016	136.5	49.45	15.6466	-0.213	10.3812	14.34
PGC055616	234.267447	55.26393	0.14	0.12	142.1	33.9	15.7553	-1.317	8.1892	30.02
PGC057169	241.670829	6.580971	0.394	0.283	144.4	50.03	20.4174	-1.571	8.4765	3.85
NGC6140	245.241185	65.390168	1.045	0.889	83.3	32.25	18.5353	-0.391	9.8704	39.46
NGC6232	250.834292	70.632528	0.733	0.579	176.0	40.36	18.0302	-1.037	9.6092	29.41
UGC10985	267.018471	14.741381	0.64	0.414	109.8	57.07	16.3682	-0.789	9.3608	18.43
PGC060931	267.386001	55.508081	0.368	0.292	147.0	38.08	20.3837	-1.304	8.8254	32.66
UGC11466	295.744833	45.298111	0.741	0.446	34.8	55.12	15.0863	-0.021	9.8072	21.0
NGC6951	309.308682	66.105682	1.596	1.047	149.3	50.84	17.2797	0.536	10.8179	42.59
PGC065330	311.417604	28.177289	0.315	0.186	52.0	55.23	19.6139	-1.43	8.7963	17.15
PGC066806	322.024584	8.625833	0.251	0.162	2.5	50.91	3.9472	-2.987	7.681	16.16
UGC11868	329.769584	18.177472	0.995	0.995	0.0	25.55	18.7973	-1.375	8.6018	15.9
NGC7320	339.014202	33.948158	1.276	0.701	132.3	57.95	16.286	-0.891	9.4456	21.07
NGC7406	343.484404	-6.57913	0.462	0.462	0.0	47.25	17.9473	-0.351	9.566	14.98
UGC12639	352.612542	30.221861	0.483	0.312	1.9	52.12	17.4582	-0.783	9.2426	17.57
NGC7741	355.976855	26.075473	1.815	1.191	161.0	50.14	13.9255	-0.464	9.6652	19.82
PGC083348	162.270221	12.407371	0.155	0.122	173.5	39.08	20.7085	-1.666	8.2412	18.77
PGC089985	68.2025	29.499389	0.406	0.239	141.0	55.09	16.7494	0.667	10.1628	18.2
PGC093597	162.804246	28.006226	0.317	0.256	6.4	53.71	19.5614	-2.186	8.888	17.59
PGC101479	194.805461	34.936336	0.182	0.144	79.9	56.37	17.9444	-1.703	8.008	21.91
PGC166411	27.3705	55.565083	0.171	0.116	30.0	48.77	13.5531	-1.205	7.9565	19.06
PGC1018807	124.47704	-7.448603	0.245	0.186	73.5	41.47	1.3124	-3.916	6.9018	13.55
PGC1024261	22.457583	-7.111083	0.213	0.141	108.0	49.72	19.881	-1.854	8.6305	18.97
PGC1072376	162.253414	-3.358431	0.169	0.169	0.0	56.49	3.6851	-2.931	6.9457	12.3
PGC1076608	43.941874	-3.095333	0.126	0.109	161.0	29.96	0.983	-3.875	5.5744	18.89
PGC1098596	152.465817	-2.210972	0.135	0.089	101.0	49.72	1.8028	-3.931	5.5459	17.24
PGC1122842	226.672048	-1.26537	0.175	0.14	101.8	38.37	2.2966	-3.061	6.9919	12.5
PGC1140345	161.75595	-0.5612	0.135	0.081	11.0	54.21	2.2364	-3.978	6.9601	16.42
PGC1147898	317.956123	-0.25697	0.153	0.153	0.0	37.31	2.3462	-3.023	6.3637	7.31
PGC1159076	43.702163	0.178975	0.116	0.098	139.6	33.21	1.2719	-3.87	5.7254	9.87
PGC1172508	168.157982	0.678384	0.148	0.126	93.0	32.24	2.9045	-3.75	6.3322	16.85
PGC1185153	170.614614	1.119538	0.158	0.115	119.0	44.48	2.9953	-3.349	6.3508	8.36
PGC1185732	176.785227	1.139417	0.126	0.077	144.0	53.14	3.4327	-3.447	7.4496	10.36
PGC1189106	169.377362	1.25006	0.158	0.129	71.0	36.3	2.2187	-3.635	7.4757	16.5
